Model,Test_RMSE,Test_MAE,Test_R2
OLS Regression,6.782646971519539,5.696200423494361,-278.51091611044023
Random Forest Reg,0.42238653381209834,0.34495574538907847,-0.08397801781700887
XGBoost Reg,0.36966529873941234,0.28767353225815107,0.16973311599370655
